movie_id_raw,title,Genres,movie_idx,genres_list,genre_Action,genre_Adventure,genre_Animation,genre_Children's,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Fantasy,genre_Film-Noir,genre_Horror,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Thriller,genre_War,genre_Western
1.0,Toy Story (1995),Animation|Children's|Comedy,0.0,"['Animation', ""Children's"", 'Comedy']",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Jumanji (1995),Adventure|Children's|Fantasy,1.0,"['Adventure', ""Children's"", 'Fantasy']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,Grumpier Old Men (1995),Comedy|Romance,2.0,"['Comedy', 'Romance']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4.0,Waiting to Exhale (1995),Comedy|Drama,3.0,"['Comedy', 'Drama']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,Father of the Bride Part II (1995),Comedy,4.0,['Comedy'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,Heat (1995),Action|Crime|Thriller,5.0,"['Action', 'Crime', 'Thriller']",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.0,Sabrina (1995),Comedy|Romance,6.0,"['Comedy', 'Romance']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,Tom and Huck (1995),Adventure|Children's,7.0,"['Adventure', ""Children's""]",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,Sudden Death (1995),Action,8.0,['Action'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,GoldenEye (1995),Action|Adventure|Thriller,9.0,"['Action', 'Adventure', 'Thriller']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11.0,"American President, The (1995)",Comedy|Drama|Romance,10.0,"['Comedy', 'Drama', 'Romance']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.0,Dracula: Dead and Loving It (1995),Comedy|Horror,11.0,"['Comedy', 'Horror']",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,Balto (1995),Animation|Children's,12.0,"['Animation', ""Children's""]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,Nixon (1995),Drama,13.0,['Drama'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Cutthroat Island (1995),Action|Adventure|Romance,14.0,"['Action', 'Adventure', 'Romance']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16.0,Casino (1995),Drama|Thriller,15.0,"['Drama', 'Thriller']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17.0,Sense and Sensibility (1995),Drama|Romance,16.0,"['Drama', 'Romance']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18.0,Four Rooms (1995),Thriller,17.0,['Thriller'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19.0,Ace Ventura: When Nature Calls (1995),Comedy,18.0,['Comedy'],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Money Train (1995),Action,19.0,['Action'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Get Shorty (1995),Action|Comedy|Drama,20.0,"['Action', 'Comedy', 'Drama']",1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,Copycat (1995),Crime|Drama|Thriller,21.0,"['Crime', 'Drama', 'Thriller']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23.0,Assassins (1995),Thriller,22.0,['Thriller'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
